file,imports_from_db_helper
src/app_init.py,create_tables;get_connection;ensure_bool_setting
src/attendance_report_window.py,get_attendance_report_rows;fetch_classes
src/attendance_window.py,get_student_term;fetch_attendance_by_date;count_attendance;get_setting;delete_future_sessions;delete_sessions_for_expired_terms;fetch_classes_on_weekday;insert_attendance_with_date;get_term_dates;get_student_contact;get_class_and_teacher_name;has_renew_sms_been_sent;mark_renew_sms_sent;fetch_students_sessions_for_class_on_date;count_attendance_by_term;delete_attendance;get_term_config;count_present_attendance_for_term;recalc_term_end_by_id
src/change_password_window.py,get_connection
src/class_manager.py,create_class;fetch_teachers_with_instruments;fetch_classes;class_exists;delete_class_by_id;is_class_has_sessions;get_instruments_for_teacher;get_class_by_id;update_class_by_id;does_teacher_have_time_conflict
src/contacts_window.py,fetch_all_contacts
src/dashboard_window.py,get_connection
src/financial_report_window.py,get_all_student_terms_with_financials;fetch_classes
src/login_window.py,get_connection
src/pay_manager.py,fetch_students_with_teachers;fetch_classes;insert_payment;get_total_paid_for_term;get_setting;get_term_id_by_student_and_class;count_attendance_for_term;fetch_registered_classes_for_student;update_payment_by_id;get_terms_for_payment_management;get_payment_by_id;get_term_tuition_by_id;get_term_sessions_limit_by_id
src/pricing_profile_manager.py,list_pricing_profiles;create_pricing_profile;get_setting;get_connection
src/session_manager.py,fetch_students_with_teachers;add_session;fetch_sessions_by_class;delete_session;fetch_classes_for_student;has_weekly_time_conflict;update_session;get_day_and_time_for_class;is_class_slot_taken;insert_student_term_if_not_exists;delete_sessions_for_expired_terms;get_session_count_per_class;get_unnotified_expired_terms;mark_terms_as_notified;delete_term_if_no_payments;get_last_term_end_date;get_session_by_id;delete_sessions_for_term;has_teacher_weekly_time_conflict;get_session_count_per_student;list_pricing_profiles;get_setting;get_finished_terms_with_future_sessions
src/settings_window.py,get_setting;set_setting;get_setting_bool;set_setting_bool
src/sms_notification_window.py,fetch_students;get_student_contact
src/sms_notifier.py,get_setting_bool
src/student_manager.py,insert_student;student_national_code_exists;get_student_by_id;update_student_by_id;delete_student_by_id;fetch_students;is_national_code_exists_for_other
src/student_term_summary_window.py,get_student_term_summary_rows;fetch_teachers_simple;fetch_classes
src/teacher_manager.py,fetch_teachers;insert_teacher;delete_teacher_by_id;is_teacher_assigned_to_students;get_teacher_by_id;update_teacher_by_id;is_national_code_exists;is_national_code_exists_for_other;add_instrument_to_teacher;remove_instrument_from_teacher;get_instruments_for_teacher;get_teacher_id_by_national_code
src/teacher_summary_window.py,get_teacher_summary_rows;fetch_teachers_simple
src/utils.py,get_setting
